id,title,description,category,scraped_at,source_page
34,One-Pot Chicken & Rice with Roasted Red Peppers,One-pot arroz con pollo style dish with roasted red peppers & pickled onion,General,20251016_150000,https://dinnerly.com/blog/no-oven-recipes-for-summer#one-pot-chicken-rice
35,Beef & Rice Noodle Stir-Fry with Snap Peas,"Stir-fry with beef, rice noodles and snap peas in savory sauce",General,20251016_150000,https://dinnerly.com/blog/no-oven-recipes-for-summer#beef-rice-noodle-stir-fry
36,Chicken Souvlaki Skewers,Za’atar seasoned chicken skewers with peppers & onions,General,20251016_150000,https://dinnerly.com/blog/no-oven-recipes-for-summer#chicken-souvlaki
37,Pulled Pork Sandwich,"Pulled pork in barbecue sauce, served in sandwich form",General,20251016_150000,https://dinnerly.com/blog/no-oven-recipes-for-summer#pulled-pork-sandwich
38,Caramel Chicken Stir-Fry with Snow Peas & Jasmine Rice,Sweet and savory caramelized chicken with snap peas and jasmine rice,General,20251016_150000,https://dinnerly.com/blog/no-oven-recipes-for-summer#caramel-chicken-stir-fry
39,Ultra Creamy Mac & Cheese with Peas,"Classic macaroni & cheese enriched with cream cheese, plus peas",General,20251016_150000,https://dinnerly.com/blog/5-tasty-twenty-minute-vegetarian-recipes#ultra-creamy-mac-cheese
40,Tomato & Red Pepper Shakshuka with Garlic Ciabatta,"Eggs poached in tomato & red pepper sauce, served with garlic ciabatta",General,20251016_150000,https://dinnerly.com/blog/5-tasty-twenty-minute-vegetarian-recipes#tomato-shakshuka
41,Greek Lemon-Oregano Chicken Traybake,"2 Canadian-raised chicken breasts, lemon, tomatoes, garlic, potatoes, feta & demi-glace",General,20251016_150000,https://www.makegoodfood.ca/product/recipe/9220025/greek-lemon-oregano-chicken-traybake (Goodfood)
42,Bistro-Style Scallops Grenobloise,"Scallops with radicchio, endive & hazelnut salad, bulgur & capers",General,20251016_150000,https://www.makegoodfood.ca/product/recipe/9220795/bistro-style-scallops-grenobloise (Goodfood)
43,Bone-In Pork Chop Piccata,Pork chop with cherry tomatoes & blistered shishito peppers,General,20251016_150000,https://www.makegoodfood.ca/stories-collab-labattoir (Bone-In Pork Chop Piccata) (Goodfood)
44,Grass-Fed Rib Steak with Porcini Sauce,"Rib steak, porcini sauce, green beans & pan-fried rosemary potatoes",General,20251016_150000,https://www.makegoodfood.ca/stories-collab-labattoir (Grass-Fed Rib Steak) (Goodfood)
45,All-Dressed Beef Cheeseburger & Fries,Classic beef burger with mac sauce & cheese-dusted fries (Camp Goodfood),General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 1) (Goodfood)
46,Cheesy Crust Sausage Pizza,Sausage pizza with a cheesy crust & pepper duo,General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 2) (Goodfood)
47,Mac ’n’ Cheese with Golden-Topped Broccoli,Mac & cheese enriched with broccoli and golden breadcrumb topping,General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 3) (Goodfood)
48,Crispy Chicken Tenders with Honey-BBQ,Chicken tenders with honey-BBQ dipping sauce & Caesar salad,General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 4) (Goodfood)
49,Chicken BLT with Zucchini-Potato Soup,"Chicken, lettuce, tomato sandwich paired with creamy zucchini-potato soup",General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 5) (Goodfood)
50,Perfect Chocolate Layer Cake,"Decadent chocolate layer cake (Camp Goodfood, Lesson 6)",General,20251016_150000,https://www.makegoodfood.ca/stories-camp-goodfood (Lesson 6) (Goodfood)
51,Bone-In Pork Chop Piccata with Cherry Tomatoes & Blistered Shishito Peppers,"Pork chops in piccata sauce, with cherry tomatoes and blistered shishito peppers",General,20251016_150000,https://www.makegoodfood.ca/stories-collab-labattoir (Bone-In Pork Chop Piccata) (Goodfood)
52,Grass-Fed Rib Steak with Porcini Sauce & Pan-Fried Rosemary Potatoes,"Rib steak with porcini sauce, green beans and rosemary potatoes",General,20251016_150000,https://www.makegoodfood.ca/stories-collab-labattoir (Grass-Fed Rib Steak) (Goodfood)
53,Lobster & Mushroom Risotto with Shimejis & Dried Chanterelles,"Creamy risotto with lobster, mushrooms, shimeji and dried chanterelles",General,20251016_150000,https://www.makegoodfood.ca/subscriptions/plan/join-GFxChef-SPP (Lobster & Mushroom Risotto) (Goodfood)
54,Thai Shrimp Green Curry with Fresh Basil Leaves,Fragrant Thai green curry with shrimp and fresh basil,General,20251016_150000,https://www.makegoodfood.ca/subscriptions/plan/join-GFxChef-SPP (Thai Shrimp Green Curry) (Goodfood)
55,Sausage & Kale Orecchiette with Parmigiano Reggiano,"Orecchiette pasta with sausage, kale and Parmigiano Reggiano",General,20251016_150000,https://www.makegoodfood.ca/subscriptions/plan/join-GFxChef-SPP (Sausage & Kale Orecchiette) (Goodfood)
56,Chicken Breast Schnitzel with Mushroom Ragu & Steamed Broccoli,"Breaded chicken schnitzel, mushroom ragu and steamed broccoli",General,20251016_150000,https://www.makegoodfood.ca/subscriptions/plan/join-GFxChef-SPP (Chicken Breast Schnitzel) (Goodfood)
